Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.425,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.04,0.07,0.32,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.455,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.04,0.32,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.521,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.12,0.04,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.579,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.04,0.04,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.608,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,-0.04,0.00,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.652,0.000,0.000,0.000,0.000,0.000, ,0.14,0.08,-0.04,0.00,0.28,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.711,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.04,0.04,0.28,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.733,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.12,0.04,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.792,0.000,0.000,0.007,0.000,0.000, ,0.06,-0.08,-0.04,0.00,0.21,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.799,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.12,0.00,0.21,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.850,0.000,0.000,0.000,0.000,0.000, ,0.14,0.00,0.12,0.00,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.880,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.12,0.00,0.28,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.902,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.08,-0.12,0.00,0.18,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.938,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.08,0.04,0.00,0.25,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.953,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.08,0.12,0.00,0.21,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.997,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.20,0.00,0.21,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.982,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.12,0.00,0.21,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.997,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.12,0.00,0.18,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.004,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.04,0.00,0.14,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.011,0.000,0.000,0.000,0.000,0.000, ,0.14,0.00,0.04,0.00,0.11,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.004,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,-0.04,0.00,0.07,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.982,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.00,0.04,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.975,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.989,0.000,0.000,0.015,0.000,0.000, ,0.06,0.00,0.04,0.00,0.04,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
2.975,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,0.04,0.00,0.04,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
2.982,0.000,0.000,0.000,0.000,0.000, ,0.06,0.00,0.04,0.00,0.04,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.004,0.000,0.000,0.000,0.000,0.000, ,-0.02,-0.08,0.04,0.00,0.07,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.004,0.000,0.000,0.000,0.000,0.007, ,0.06,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.011,0.000,0.000,0.000,0.000,0.000, ,-0.02,-0.08,-0.04,0.00,0.07,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.019,0.000,0.000,0.000,0.000,0.007, ,-0.02,0.00,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.048,0.000,0.000,0.000,0.000,0.000, ,0.06,0.08,0.04,0.00,0.04,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.099,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2483.03,0.00,4000.00,0.00,
3.107,0.000,0.000,0.000,0.000,0.000, ,0.06,-0.08,0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.143,0.000,0.000,0.000,0.000,0.000, ,-0.02,0.00,-0.20,0.00,0.04,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.187,0.000,0.000,0.000,0.007,0.000, ,0.14,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
3.217,0.000,0.000,0.007,0.000,0.000, ,-0.02,0.00,-0.04,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1047.13,0.00,2570.94,0.00,4000.00,0.00,
