Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.125,0.000,0.000,0.007,0.000,0.000, ,-1.78,-0.33,-0.43,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
2.213,0.000,0.000,0.015,0.000,0.000, ,-1.91,0.20,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.286,0.000,0.000,0.051,0.000,0.000, ,-0.59,0.59,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
2.352,0.000,0.000,0.015,0.000,0.000, ,-1.38,-0.07,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.367,0.000,0.000,0.007,0.000,0.000, ,-1.12,-0.33,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
2.440,0.000,0.000,0.037,0.007,0.007, ,-1.91,-0.20,0.63,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
2.462,0.000,0.000,0.037,0.000,0.015, ,-0.59,0.07,0.10,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
2.557,0.000,0.000,0.022,0.015,0.000, ,-0.20,0.07,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.542,0.000,0.000,0.037,0.000,0.000, ,-0.20,-0.07,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.623,0.000,0.000,0.051,0.007,0.022, ,-0.07,-0.72,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.667,0.000,0.000,0.022,0.000,0.007, ,-0.20,0.20,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.87,2000.00,0.00,2000.00,0.00,
2.674,0.000,0.000,0.022,0.022,0.037, ,0.33,0.59,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.733,0.000,0.000,0.051,0.000,0.000, ,-0.07,-0.07,0.10,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.777,0.000,0.000,0.007,0.000,0.000, ,0.07,-0.33,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.748,0.000,0.000,0.081,0.066,0.088, ,0.46,0.33,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.87,2000.00,0.00,2000.00,0.00,
2.836,0.000,0.000,0.022,0.000,0.000, ,0.59,1.91,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.91,2000.00,0.00,2000.00,0.00,
2.880,0.000,0.007,0.044,0.007,0.000, ,0.33,1.51,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,1.47,54.91,2000.00,0.00,2000.00,0.00,
2.887,0.000,0.000,0.015,0.000,0.000, ,-0.07,0.33,0.36,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.95,2000.00,0.00,2000.00,0.00,
