Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.944,0.000,0.003,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.91,4000.00,0.00,
0.000,0.950,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.91,4000.00,0.00,
0.000,0.958,0.000,0.000,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.91,4000.00,0.00,
0.000,0.967,0.000,0.000,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.91,4000.00,0.00,
0.000,0.973,0.000,0.003,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,0.988,0.000,0.006,0.000,0.000, ,0.00,0.14,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.000,0.996,0.000,0.009,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.003,0.996,0.000,0.006,0.000,0.003, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.000,1.005,0.000,0.006,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.008,0.000,0.009,0.000,0.000, ,0.00,0.32,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.003,1.017,0.000,0.006,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.020,0.000,0.003,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.003,1.026,0.000,0.000,0.000,0.000, ,0.00,0.02,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.032,0.000,0.006,0.000,0.000, ,0.00,-0.05,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.000,1.032,0.000,0.006,0.000,0.000, ,0.00,-0.11,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.035,0.000,0.012,0.009,0.012, ,0.00,-0.17,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.000,1.040,0.000,0.009,0.000,0.000, ,0.00,-0.11,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.006,1.046,0.003,0.003,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.000,1.040,0.000,0.006,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.046,0.000,0.000,0.000,0.000, ,0.00,0.08,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.000,1.043,0.000,0.006,0.000,0.000, ,0.00,0.45,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.000,1.049,0.000,0.000,0.000,0.000, ,0.00,0.45,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.049,0.000,0.003,0.000,0.000, ,0.00,0.82,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
0.000,1.052,0.000,0.000,0.000,0.000, ,0.00,0.94,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.052,0.000,0.003,0.000,0.000, ,0.00,0.88,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.80,4000.00,0.00,
0.000,1.052,0.000,0.000,0.000,0.000, ,0.00,0.70,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.052,0.000,0.003,0.000,0.000, ,0.00,1.07,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.055,0.000,0.003,0.000,0.000, ,0.00,0.70,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.88,4000.00,0.00,
0.000,1.058,0.000,0.000,0.000,0.000, ,0.00,0.63,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,17.84,4000.00,0.00,
