Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
10.287,0.000,0.000,0.000,0.007,0.000, ,0.02,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
10.309,0.000,0.000,0.015,0.007,0.007, ,0.02,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
10.287,0.000,0.000,0.000,0.022,0.000, ,-0.06,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
10.309,0.000,0.000,0.000,0.007,0.000, ,0.02,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,95.73,0.00,0.00,0.00,
10.324,0.000,0.000,0.000,0.000,0.000, ,-0.06,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.302,0.000,0.000,0.015,0.015,0.000, ,0.02,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.309,0.000,0.000,0.000,0.022,0.000, ,0.10,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,164.10,0.00,
10.309,0.000,0.000,0.000,0.000,0.000, ,-0.14,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,64.47,0.00,0.00,0.00,
10.331,0.000,0.000,0.022,0.000,0.000, ,0.02,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.309,0.000,0.000,0.007,0.022,0.000, ,-0.06,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.302,0.000,0.000,0.000,0.000,0.000, ,0.10,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.309,0.000,0.000,0.000,0.000,0.000, ,-0.06,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,64.47,0.00,0.00,0.00,
10.309,0.000,0.000,0.022,0.000,0.000, ,-0.06,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
10.339,0.000,0.000,0.000,0.000,0.000, ,-0.06,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
10.324,0.000,0.000,0.007,0.015,0.000, ,-0.06,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.309,0.000,0.000,0.022,0.007,0.000, ,-0.06,-0.02,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
10.302,0.000,0.007,0.000,0.000,0.000, ,0.02,0.06,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
10.309,0.000,0.000,0.007,0.022,0.000, ,0.02,0.14,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
