Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.689,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
2.711,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.762,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,1.06,-0.69 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.814,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.85,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.858,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.21,1.01 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
2.894,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.21,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.945,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.21,-0.27 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
2.982,0.000,0.000,0.066,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,-0.27 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.004,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,-0.27 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.026,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.43,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
3.070,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.099,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.114,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.48 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.165,0.007,0.000,0.073,0.000,0.000, ,0.00,0.00,0.00,0.00,0.64,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.165,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.187,0.007,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.28,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.187,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.187,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,0.85,-0.69 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
3.217,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.64,-0.27 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
3.217,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
3.231,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.43,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.231,0.007,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.224,0.000,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,0.43,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.217,0.000,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.21,0.16 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.195,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.21,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.195,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.85,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
3.173,0.000,0.000,0.081,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.48 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.180,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.43,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,3.91,34.32,
3.158,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.151,0.007,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.06,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.151,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.49,1.01 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
3.136,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.85,-0.48 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.143,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,0.43,1.22 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
3.136,0.000,0.000,0.044,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.37 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
3.129,0.000,0.000,0.037,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
