Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.973,0.000,0.003,0.000,0.000, ,0.00,0.00,-0.15,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.982,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.991,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.991,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,1.002,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.15,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,1.005,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,1.008,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,1.011,0.000,0.000,0.000,0.003, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,1.017,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,1.017,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.003,1.029,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.000,1.026,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,1.032,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,1.035,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.000,1.038,0.000,0.000,0.000,0.000, ,0.00,0.00,0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.000,1.038,0.000,0.006,0.000,0.000, ,0.00,0.00,0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
0.000,1.038,0.000,0.000,0.000,0.000, ,0.00,0.00,0.15,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,
